Anio,Nomestado,Nomddr,Nomcader,Nommunicipio,Nomcicloproductivo,Nommodalidad,Nomunidad,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Rendimiento,Precio,Valorproduccion
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Perennes,Riego,Tonelada,Espárrago,36.0,36.0,0.0,5.2,44314.64,8295700.61
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Perennes,Riego,Tonelada,Nuez,79.0,0.0,0.0,0.0,0.0,0.0
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Perennes,Riego,Tonelada,Uva,36.0,36.0,0.0,11.19,7320.78,2950272.95
2020,Aguascalientes,Aguascalientes,Aguascalientes,San Francisco de Los Romo,Perennes,Temporal,Tonelada,Tuna,13.0,13.0,0.0,3.3,3355.0,143929.5
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Otoño-Invierno,Riego,Tonelada,Avena forrajera en verde,110.0,110.0,0.0,24.68,654.98,1778434.45
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Otoño-Invierno,Riego,Tonelada,Calabacita,19.0,19.0,0.0,16.76,5102.88,1625114.19
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Otoño-Invierno,Riego,Tonelada,Cebolla,11.0,11.0,0.0,14.27,4877.23,765725.11
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Otoño-Invierno,Riego,Tonelada,Tomate rojo (jitomate),16.0,16.0,0.0,19.09,6579.88,2010153.34
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Riego,Tonelada,Calabacita,16.5,16.5,0.0,19.45,3433.24,1102070.04
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Riego,Tonelada,Chile verde,6.0,6.0,0.0,19.17,7600.43,874049.45
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Riego,Tonelada,Elote,6.0,6.0,0.0,23.0,2380.0,328440.0
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Riego,Tonelada,Maíz forrajero en verde,75.0,75.0,0.0,64.2,727.29,3501901.35
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Riego,Tonelada,Maíz grano,49.0,49.0,0.0,6.2,3520.2,1069436.76
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Riego,Tonelada,Pepino,2.0,2.0,0.0,45.83,2005.0,183758.25
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Riego,Tonelada,Tomate rojo (jitomate),51.45,51.45,0.0,135.15,18663.35,129775620.69
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Riego,Tonelada,Tomate verde,315.0,315.0,0.0,25.22,3075.98,24436507.91
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Temporal,Tonelada,Frijol,22.0,22.0,0.0,0.4,10026.09,88229.59
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Temporal,Tonelada,Maíz forrajero en verde,1520.0,1520.0,0.0,13.43,684.15,13970343.0
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Temporal,Tonelada,Maíz grano,1115.0,1115.0,0.0,0.62,4085.38,2827082.96
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Primavera-Verano,Temporal,Tonelada,Sorgo forrajero en verde,690.0,690.0,0.0,12.5,976.11,8418948.75
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Aguacate,55.85,25.0,0.0,13.03,14300.0,4658225.0
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Alfalfa verde,23.9,23.9,0.0,70.45,681.22,1147004.18
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Durazno,47.75,47.75,0.0,10.05,13170.31,6321748.8
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Granada,3.0,3.0,0.0,6.89,3155.0,65213.85
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Guayaba,4170.9,4170.9,0.0,15.08,6089.85,383033748.55
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Limón,94.2,50.0,0.0,12.81,5901.87,3780147.74
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Manzana,14.0,4.0,0.0,8.63,4500.0,155250.0
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Naranja,3.5,3.5,0.0,7.7,2055.0,55382.25
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Nopalitos,350.0,350.0,0.0,56.25,2721.18,53575272.14
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Nuez,1.0,1.0,0.0,1.22,28526.0,34801.72
2020,Aguascalientes,Aguascalientes,Calvillo,Calvillo,Perennes,Riego,Tonelada,Uva,2.0,0.0,0.0,0.0,0.0,0.0
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Otoño-Invierno,Riego,Tonelada,Ajo,56.0,56.0,0.0,15.4,19950.0,17204880.0
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Otoño-Invierno,Riego,Tonelada,Avena forrajera en verde,215.0,215.0,0.0,28.5,598.56,3667676.4
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Otoño-Invierno,Riego,Tonelada,Brócoli,44.0,44.0,0.0,17.31,3810.14,2901955.03
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Otoño-Invierno,Riego,Tonelada,Zanahoria,26.0,26.0,0.0,48.2,2850.0,3571620.0
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Riego,Tonelada,Avena forrajera en verde,68.0,68.0,0.0,31.0,585.0,1233180.0
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Riego,Tonelada,Brócoli,30.0,30.0,0.0,17.5,4107.13,2156243.25
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Riego,Tonelada,Chile verde,202.35,202.35,0.0,19.14,7885.09,30534213.36
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Riego,Tonelada,Elote,110.0,110.0,0.0,25.2,2649.03,7343111.16
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Riego,Tonelada,Frijol,341.0,341.0,0.0,2.45,10066.6,8410140.97
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Riego,Tonelada,Maíz forrajero en verde,528.0,528.0,0.0,71.67,709.95,26865757.51
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Riego,Tonelada,Maíz grano,726.0,726.0,0.0,8.1,3339.88,19640498.33
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Riego,Tonelada,Zanahoria,38.0,38.0,0.0,49.5,3114.04,5857509.24
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Temporal,Tonelada,Avena forrajera en verde,276.0,276.0,0.0,8.25,415.0,944955.0
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Temporal,Tonelada,Frijol,210.0,210.0,0.0,0.55,9779.45,1129526.48
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Temporal,Tonelada,Maíz forrajero en verde,1156.0,1156.0,0.0,8.2,605.24,5737191.01
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Primavera-Verano,Temporal,Tonelada,Maíz grano,1458.0,1458.0,0.0,0.5,4230.66,3084151.14
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Perennes,Riego,Tonelada,Alfalfa verde,350.0,350.0,0.0,94.1,696.97,22954706.95
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Perennes,Riego,Tonelada,Durazno,6.0,2.0,0.0,9.6,12164.06,233549.95
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Perennes,Riego,Tonelada,Uva,648.06,639.46,0.0,14.93,11156.12,106487109.06
2020,Aguascalientes,Aguascalientes,Pabellón,Cosío,Perennes,Temporal,Tonelada,Tuna,28.0,28.0,0.0,6.1,3258.57,556563.76
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Otoño-Invierno,Riego,Tonelada,Ajo,21.0,21.0,0.0,14.6,18800.0,5764080.0
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Otoño-Invierno,Riego,Tonelada,Avena forrajera en verde,358.0,358.0,0.0,29.2,604.39,6318051.3
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Otoño-Invierno,Riego,Tonelada,Brócoli,95.0,95.0,0.0,17.0,3815.48,6162000.2
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Otoño-Invierno,Riego,Tonelada,Cebolla,41.0,41.0,0.0,28.0,4090.48,4695871.04
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Otoño-Invierno,Riego,Tonelada,Lechuga,6.0,6.0,0.0,22.0,2480.0,327360.0
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Otoño-Invierno,Riego,Tonelada,Zanahoria,39.0,39.0,0.0,43.0,2800.0,4695600.0
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Avena forrajera en verde,51.0,51.0,0.0,31.25,590.0,940283.0
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Brócoli,68.0,68.0,0.0,15.77,4149.68,4450531.8
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Cebolla,46.0,46.0,0.0,31.56,3285.38,4769583.27
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Chile verde,86.0,86.0,0.0,20.23,8731.43,15187448.89
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Elote,68.0,68.0,0.0,24.99,2621.66,4454200.34
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Fresa,9.0,9.0,0.0,48.81,17803.62,7820238.5
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Frijol,46.0,46.0,0.0,2.9,10000.0,1334000.0
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Lechuga,4.0,4.0,0.0,30.0,3403.75,408450.0
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Maíz forrajero en verde,2056.0,2056.0,0.0,69.8,710.43,101952956.78
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Maíz grano,350.0,350.0,0.0,8.4,3263.36,9594278.4
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Sorgo forrajero en verde,45.0,45.0,0.0,49.6,582.55,1300251.6
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Tomate rojo (jitomate),59.0,59.0,0.0,62.68,5789.74,21410461.9
2020,Aguascalientes,Aguascalientes,Pabellón,Pabellón de Arteaga,Primavera-Verano,Riego,Tonelada,Tomate verde,66.0,66.0,0.0,24.6,3269.67,5308636.21
